period,month,stack_no,diameter,sampling,stack_temperature,oxygen_pct,gas_velocity,operation_hour,flow_rate,dust_emission_actual_o2,dust_emission_rate,dust_emission,sox_emission_actual_o2,sox_emission_rate,sox_emission,nox_emission_actual_o2,nox_emission_rate,nox_emission
Jan,1,Spray Dryer 1,1.3,2019-12-02,84.3,0.0,0.0,452.0,1416.666667,41.0,3.485,1575.22,15.72,1.3362,603.9624,4.4,0.374,169.048
Jan,1,Spray Dryer 2,1.3,2019-12-02,87.1,0.0,0.0,400.0,1416.666667,43.0,3.655,1462.0,18.34,1.5589,623.56,4.6,0.391,156.4
Jan,1,"Biscuit Kiln Exhaust Stack 1, 2",0.8,2019-12-02,153.2,0.0,0.0,384.0,173.3333333,52.0,0.5408,207.6672,83.84,0.871936,334.823424,5.1,0.05304,20.36736
Jan,1,"Biscuit Kiln Exhaust Stack 3, 4",0.8,2019-12-02,159.1,0.0,0.0,416.0,188.3333333,53.0,0.5989,249.1424,84.71,0.957223,398.204768,4.6,0.05198,21.62368
Jan,1,"Biscuit Kiln Exhaust Stack 5, 6",0.8,2019-12-02,146.5,0.0,0.0,424.0,175.5,50.0,0.5265,223.236,80.19,0.8444007,358.0258968,4.8,0.050544,21.430656
Jan,1,Glaze Kiln Exhaust Stack 1,0.8,2019-09-29,157.3,0.0,0.0,384.0,168.6666667,51.0,0.51612,198.19008,6.38,0.0645656,24.7931904,5.7,0.057684,22.150656
Jan,1,Glaze Kiln Exhaust Stack 2,0.8,2019-09-29,124.3,0.0,0.0,384.0,141.5,52.0,0.44148,169.52832,6.42,0.0545058,20.9302272,5.5,0.046695,17.93088
Jan,1,Glaze Kiln Exhaust Stack 3,0.8,2019-09-29,117.7,0.0,0.0,416.0,138.0,52.0,0.43056,179.11296,8.8,0.072864,30.311424,7.2,0.059616,24.800256
Jan,1,Glaze Kiln Exhaust Stack 4,0.8,2019-12-02,150.4,0.0,0.0,416.0,177.5,51.0,0.54315,225.9504,91.11,0.9703215,403.653744,4.5,0.047925,19.9368
Jan,1,Glaze Kiln Exhaust Stack 5,0.8,2019-12-02,120.1,0.0,0.0,424.0,178.3333333,52.5,0.56175,238.182,92.18,0.986326,418.202224,4.3,0.04601,19.50824
Jan,1,Glaze Kiln Exhaust Stack 6,0.8,2019-12-02,117.5,0.0,0.0,424.0,176.0,53.0,0.55968,237.30432,93.15,0.983664,417.073536,5.8,0.061248,25.969152
Feb,2,Spray Dryer 1,1.3,2019-12-02,84.3,0.0,0.0,0.0,1416.666667,41.0,3.485,0.0,15.72,1.3362,0.0,4.4,0.374,0.0
Feb,2,Spray Dryer 2,1.3,2019-12-02,87.1,0.0,0.0,424.0,1416.666667,43.0,3.655,1549.72,18.34,1.5589,660.9736,4.6,0.391,165.784
Feb,2,"Biscuit Kiln Exhaust Stack 1, 2",0.8,2019-12-02,153.2,0.0,0.0,328.0,173.3333333,52.0,0.5408,177.3824,83.84,0.871936,285.995008,5.1,0.05304,17.39712
