Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,12,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115
Sox/ Khí Sox,,,Jan,,,,,,,,,Feb,,,,,,,,,Mar,,,,,,,,,Apr,,,,,,,,,May,,,,,,,,,Jun,,,,,,,,,Jul,,,,,,,,,Aug,,,,,,,,,Sep,,,,,,,,,Oct,,,,,,,,,Nov,,,,,,,,,Dec,,,,,,,,, YTD,Q1, Q2,Q3,Q4
Stack No.,Process,Diameter,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,,,,,
,,m,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,,,,,
Sấy phun 1,,1.3,2/12/2019,84.3,,,1416.666667,15.72,1.3362,452,603.9624,2/12/2019,84.3,,,1416.666667,15.72,1.3362,0,0,2/12/2019,84.3,,,1416.666667,15.72,1.3362,593,792.3666,3/4/2020,82.3,,,1416.666667,18,1.53,671,1026.63,3/4/2020,82.3,,,1416.666667,18,1.53,689,1054.17,8/6/2020,95.5,,,1416.666667,92.2,7.837,673,5274.301,8/6/2020,95.5,,,1416.666667,92.2,7.837,714,5595.618,8/6/2020,95.5,,,1416.666667,92.2,7.837,637,4992.169,8/6/2020,95.5,,,1416.666667,92.2,7.837,466,3652.042,20/8/2020,96.2,,,1416.666667,94.2,8.007,680,5444.76,20/8/2020,96.2,,,1416.666667,94.2,8.007,683,5468.781,20/8/2020,96.2,,,1416.666667,94.2,8.007,660,5284.62,,,,,
Sấy phun 2,,1.3,2/12/2019,87.1,,,1416.666667,18.34,1.5589,400,623.56,2/12/2019,87.1,,,1416.666667,18.34,1.5589,424,660.9736,2/12/2019,87.1,,,1416.666667,18.34,1.5589,654,1019.5206,3/4/2020,71.9,,,1416.666667,16.2,1.377,475,654.075,3/4/2020,71.9,,,1416.666667,16.2,1.377,499.7,688.0869,8/6/2020,94.1,,,1416.666667,93.6,7.956,513.6,4086.2016,8/6/2020,94.1,,,1416.666667,93.6,7.956,611,4861.116,8/6/2020,94.1,,,1416.666667,93.6,7.956,531,4224.636,8/6/2020,94.1,,,1416.666667,93.6,7.956,621,4940.676,20/8/2020,95.1,,,1416.666667,94.7,8.0495,200,1609.9,20/8/2020,95.1,,,1416.666667,94.7,8.0495,360,2897.82,20/8/2020,95.1,,,1416.666667,94.7,8.0495,436,3509.582,,,,,
"Ống khói lò nung xương 1,2",,0.8,2/12/2019,153.2,,,173.3333333,83.84,0.871936,384,334.823424,2/12/2019,153.2,,,173.3333333,83.84,0.871936,328,285.995008,2/12/2019,153.2,,,173.3333333,83.84,0.871936,744,648.720384,3/4/2020,130,,,181.6666667,89.1,0.97119,720,699.2568,3/4/2020,130,,,181.6666667,89.1,0.97119,744,722.56536,8/6/2020,119.3,,,181.6666667,91.7,0.99953,720,719.6616,8/6/2020,119.3,,,181.6666667,91.7,0.99953,744,743.65032,8/6/2020,119.3,,,181.6666667,91.7,0.99953,744,743.65032,8/6/2020,119.3,,,181.6666667,91.7,0.99953,720,719.6616,20/8/2020,121.5,,,154,92.4,0.853776,744,635.209344,20/8/2020,121.5,,,154,92.4,0.853776,720,614.71872,20/8/2020,121.5,,,154,92.4,0.853776,744,635.209344,,,,,
"Ống khói lò nung xương 3,4",,0.8,2/12/2019,159.1,,,188.3333333,84.71,0.957223,416,398.204768,2/12/2019,159.1,,,188.3333333,84.71,0.957223,448,428.835904,2/12/2019,159.1,,,188.3333333,84.71,0.957223,744,712.173912,3/4/2020,120.1,,,186.6666667,83.3,0.93296,720,671.7312,3/4/2020,120.1,,,186.6666667,83.3,0.93296,744,694.12224,8/6/2020,120.6,,,186.6666667,95.3,1.06736,720,768.4992,8/6/2020,120.6,,,186.6666667,95.3,1.06736,744,794.11584,8/6/2020,120.6,,,186.6666667,95.3,1.06736,744,794.11584,8/6/2020,120.6,,,186.6666667,95.3,1.06736,720,768.4992,20/8/2020,122.7,,,158.3333333,96.1,0.91295,744,679.2348,20/8/2020,122.7,,,158.3333333,96.1,0.91295,720,657.324,20/8/2020,122.7,,,158.3333333,96.1,0.91295,744,679.2348,,,,,
"Ống khói lò nung xương 5,6",,0.8,2/12/2019,146.5,,,175.5,80.19,0.8444007,424,358.0258968,2/12/2019,146.5,,,175.5,80.19,0.8444007,0,0,2/12/2019,146.5,,,175.5,80.19,0.8444007,624,526.9060368,3/4/2020,145.9,,,175,91.2,0.9576,720,689.472,3/4/2020,145.9,,,175,91.2,0.9576,744,712.4544,8/6/2020,117.5,,,175,92.7,0.97335,720,700.812,8/6/2020,117.5,,,175,92.7,0.97335,744,724.1724,8/6/2020,117.5,,,175,92.7,0.97335,744,724.1724,8/6/2020,117.5,,,175,92.7,0.97335,720,700.812,20/8/2020,118.6,,,194.1666667,93.8,1.09277,744,813.02088,20/8/2020,118.6,,,194.1666667,93.8,1.09277,720,786.7944,20/8/2020,118.6,,,194.1666667,93.8,1.09277,744,813.02088,,,,,
Ống khói lò nung men số 1,,0.8,29/9/2019,157.3,,,168.6666667,6.38,0.0645656,384,24.7931904,29/9/2019,157.3,,,168.6666667,6.38,0.0645656,328,21.1775168,29/9/2019,157.3,,,168.6666667,6.38,0.0645656,744,48.0368064,3/4/2020,152.3,,,178.3333333,93.1,0.99617,720,717.2424,3/4/2020,152.3,,,178.3333333,93.1,0.99617,744,741.15048,8/6/2020,125.8,,,178.3333333,96.2,1.02934,720,741.1248,8/6/2020,125.8,,,178.3333333,96.2,1.02934,744,765.82896,8/6/2020,125.8,,,178.3333333,96.2,1.02934,744,765.82896,8/6/2020,125.8,,,178.3333333,96.2,1.02934,720,741.1248,8/6/2020,125.8,,,178.3333333,96.2,1.02934,744,765.82896,8/6/2020,125.8,,,178.3333333,96.2,1.02934,720,741.1248,8/6/2020,125.8,,,178.3333333,96.2,1.02934,744,765.82896,,,,,
Ống khói lò nung men số 2,,0.8,29/9/2019,124.3,,,141.5,6.42,0.0545058,384,20.9302272,29/9/2019,124.3,,,141.5,6.42,0.0545058,328,17.8779024,29/9/2019,124.3,,,141.5,6.42,0.0545058,744,40.5523152,3/4/2020,149.5,,,186.6666667,90.2,1.01024,720,727.3728,3/4/2020,149.5,,,186.6666667,90.2,1.01024,744,751.61856,8/6/2020,105.7,,,186.6666667,93.3,1.04496,720,752.3712,8/6/2020,105.7,,,186.6666667,93.3,1.04496,744,777.45024,8/6/2020,105.7,,,186.6666667,93.3,1.04496,744,777.45024,8/6/2020,105.7,,,186.6666667,93.3,1.04496,720,752.3712,20/8/2020,124.7,,,155.6666667,97.8,0.913452,744,679.608288,20/8/2020,124.7,,,155.6666667,97.8,0.913452,720,657.68544,20/8/2020,124.7,,,155.6666667,97.8,0.913452,744,679.608288,,,,,
