Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,12,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115
Nox,,,Jan,,,,,,,,,Feb,,,,,,,,,Mar,,,,,,,,,Apr,,,,,,,,,May,,,,,,,,,Jun,,,,,,,,,Jul,,,,,,,,,Aug,,,,,,,,,Sep,,,,,,,,,Oct,,,,,,,,,Nov,,,,,,,,,Dec,,,,,,,,, YTD,Q1, Q2,Q3,Q4
Stack No.,Process,Diameter,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"NOx Emission
Actual O2  ","NOx  Emission 
rate","Operation 
Hour",NOx  Emission,,,,,
,,m,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,,,,,
Sấy phun 1,,1.3,2/12/2019,84.3,,,1416.666667,4.4,0.374,452,169.048,2/12/2019,84.3,,,1416.666667,4.4,0.374,0,0,2/12/2019,84.3,,,1416.666667,4.4,0.374,593,221.782,3/4/2020,82.3,,,1416.666667,4.9,0.4165,671,279.4715,3/4/2020,82.3,,,1416.666667,4.9,0.4165,689,286.9685,8/6/2020,95.5,,,1416.666667,70.3,5.9755,673,4021.5115,8/6/2020,95.5,,,1416.666667,70.3,5.9755,714,4266.507,8/6/2020,95.5,,,1416.666667,70.3,5.9755,637,3806.3935,8/6/2020,95.5,,,1416.666667,70.3,5.9755,466,2784.583,20/8/2020,96.2,,,1416.666667,71.6,6.086,680,4138.48,20/8/2020,96.2,,,1416.666667,71.6,6.086,683,4156.738,20/8/2020,96.2,,,1416.666667,71.6,6.086,660,4016.76,,,,,
Sấy phun 2,,1.3,2/12/2019,87.1,,,1416.666667,4.6,0.391,400,156.4,2/12/2019,87.1,,,1416.666667,4.6,0.391,424,165.784,2/12/2019,87.1,,,1416.666667,4.6,0.391,654,255.714,3/4/2020,71.9,,,1416.666667,4.6,0.391,475,185.725,3/4/2020,71.9,,,1416.666667,4.6,0.391,499.7,195.3827,8/6/2020,94.1,,,1416.666667,68.7,5.8395,513.6,2999.1672,8/6/2020,94.1,,,1416.666667,68.7,5.8395,611,3567.9345,8/6/2020,94.1,,,1416.666667,68.7,5.8395,531,3100.7745,8/6/2020,94.1,,,1416.666667,68.7,5.8395,621,3626.3295,20/8/2020,95.1,,,1416.666667,67.9,5.7715,200,1154.3,20/8/2020,95.1,,,1416.666667,67.9,5.7715,360,2077.74,20/8/2020,95.1,,,1416.666667,67.9,5.7715,436,2516.374,,,,,
"Ống khói lò nung xương 1,2",,0.8,2/12/2019,153.2,,,173.3333333,5.1,0.05304,384,20.36736,2/12/2019,153.2,,,173.3333333,5.1,0.05304,328,17.39712,2/12/2019,153.2,,,173.3333333,5.1,0.05304,744,39.46176,3/4/2020,130,,,181.6666667,5.3,0.05777,720,41.5944,3/4/2020,130,,,181.6666667,5.3,0.05777,744,42.98088,8/6/2020,119.3,,,181.6666667,71.4,0.77826,720,560.3472,8/6/2020,119.3,,,181.6666667,71.4,0.77826,744,579.02544,8/6/2020,119.3,,,181.6666667,71.4,0.77826,744,579.02544,8/6/2020,119.3,,,181.6666667,71.4,0.77826,720,560.3472,20/8/2020,121.5,,,154,72.7,0.671748,744,499.780512,20/8/2020,121.5,,,154,72.7,0.671748,720,483.65856,20/8/2020,121.5,,,154,72.7,0.671748,744,499.780512,,,,,
"Ống khói lò nung xương 3,4",,0.8,2/12/2019,159.1,,,188.3333333,4.6,0.05198,416,21.62368,2/12/2019,159.1,,,188.3333333,4.6,0.05198,448,23.28704,2/12/2019,159.1,,,188.3333333,4.6,0.05198,744,38.67312,3/4/2020,120.1,,,186.6666667,5.6,0.06272,720,45.1584,3/4/2020,120.1,,,186.6666667,5.6,0.06272,744,46.66368,8/6/2020,120.6,,,186.6666667,69.5,0.7784,720,560.448,8/6/2020,120.6,,,186.6666667,69.5,0.7784,744,579.1296,8/6/2020,120.6,,,186.6666667,69.5,0.7784,744,579.1296,8/6/2020,120.6,,,186.6666667,69.5,0.7784,720,560.448,20/8/2020,122.7,,,158.3333333,68.9,0.65455,744,486.9852,20/8/2020,122.7,,,158.3333333,68.9,0.65455,720,471.276,20/8/2020,122.7,,,158.3333333,68.9,0.65455,744,486.9852,,,,,
"Ống khói lò nung xương 5,6",,0.8,2/12/2019,146.5,,,175.5,4.8,0.050544,424,21.430656,2/12/2019,146.5,,,175.5,4.8,0.050544,0,0,2/12/2019,146.5,,,175.5,4.8,0.050544,624,31.539456,3/4/2020,145.9,,,175,5.8,0.0609,720,43.848,3/4/2020,145.9,,,175,5.8,0.0609,744,45.3096,8/6/2020,117.5,,,175,68.3,0.71715,720,516.348,8/6/2020,117.5,,,175,68.3,0.71715,744,533.5596,8/6/2020,117.5,,,175,68.3,0.71715,744,533.5596,8/6/2020,117.5,,,175,68.3,0.71715,720,516.348,20/8/2020,118.6,,,194.1666667,70.4,0.82016,744,610.19904,20/8/2020,118.6,,,194.1666667,70.4,0.82016,720,590.5152,20/8/2020,118.6,,,194.1666667,70.4,0.82016,744,610.19904,,,,,
Ống khói lò nung men số 1,,0.8,29/9/2019,157.3,,,168.6666667,5.7,0.057684,384,22.150656,29/9/2019,157.3,,,168.6666667,5.7,0.057684,328,18.920352,29/9/2019,157.3,,,168.6666667,5.7,0.057684,744,42.916896,3/4/2020,152.3,,,178.3333333,6,0.0642,720,46.224,3/4/2020,152.3,,,178.3333333,6,0.0642,744,47.7648,8/6/2020,125.8,,,178.3333333,72.4,0.77468,720,557.7696,8/6/2020,125.8,,,178.3333333,72.4,0.77468,744,576.36192,8/6/2020,125.8,,,178.3333333,72.4,0.77468,744,576.36192,8/6/2020,125.8,,,178.3333333,72.4,0.77468,720,557.7696,8/6/2020,125.8,,,178.3333333,72.4,0.77468,744,576.36192,8/6/2020,125.8,,,178.3333333,72.4,0.77468,720,557.7696,8/6/2020,125.8,,,178.3333333,72.4,0.77468,744,576.36192,,,,,
Ống khói lò nung men số 2,,0.8,29/9/2019,124.3,,,141.5,5.5,0.046695,384,17.93088,29/9/2019,124.3,,,141.5,5.5,0.046695,328,15.31596,29/9/2019,124.3,,,141.5,5.5,0.046695,744,34.74108,3/4/2020,149.5,,,186.6666667,5.7,0.06384,720,45.9648,3/4/2020,149.5,,,186.6666667,5.7,0.06384,744,47.49696,8/6/2020,105.7,,,186.6666667,74.5,0.8344,720,600.768,8/6/2020,105.7,,,186.6666667,74.5,0.8344,744,620.7936,8/6/2020,105.7,,,186.6666667,74.5,0.8344,744,620.7936,8/6/2020,105.7,,,186.6666667,74.5,0.8344,720,600.768,20/8/2020,124.7,,,155.6666667,70.7,0.660338,744,491.291472,20/8/2020,124.7,,,155.6666667,70.7,0.660338,720,475.44336,20/8/2020,124.7,,,155.6666667,70.7,0.660338,744,491.291472,,,,,
